Patch ID,DN_Values
Patch_0_0,7.3905272
Patch_0_1,5.1359596
Patch_0_2,8.562776
Patch_0_3,8.505224
Patch_0_4,6.767704
Patch_0_5,5.03204
Patch_0_6,3.540864
Patch_0_7,4.449644
Patch_0_8,2.3931594
Patch_0_9,2.5557902
Patch_0_10,0.5341851
Patch_0_11,2.1275113
Patch_0_12,3.7041268
Patch_0_13,2.3791108
Patch_0_14,0.14424357
Patch_0_15,0.099064216
Patch_0_16,0.14259736
Patch_0_17,0.27068716
Patch_0_18,2.2368836
Patch_0_19,5.81381
Patch_0_20,4.1592283
Patch_0_21,8.311305
Patch_0_22,10.380376
Patch_0_23,8.641251
Patch_0_24,10.125868
Patch_0_25,11.421144
Patch_0_26,6.9827805
Patch_0_27,1.643332
Patch_0_28,3.301242
Patch_0_29,-3.4e+38
Patch_0_30,-3.4e+38
Patch_0_31,-3.4e+38
Patch_0_32,-3.4e+38
Patch_0_33,-3.4e+38
Patch_0_34,-3.4e+38
Patch_0_35,-3.4e+38
Patch_0_36,-3.4e+38
Patch_0_37,-3.4e+38
Patch_0_38,-3.4e+38
Patch_0_39,-3.4e+38
Patch_0_40,-3.4e+38
Patch_0_41,-3.4e+38
Patch_0_42,-3.4e+38
Patch_0_43,-3.4e+38
Patch_0_44,-3.4e+38
Patch_0_45,-3.4e+38
Patch_0_46,-3.4e+38
Patch_0_47,-3.4e+38
Patch_0_48,-3.4e+38
Patch_0_49,-3.4e+38
Patch_0_50,-3.4e+38
Patch_0_51,-3.4e+38
Patch_0_52,-3.4e+38
Patch_0_53,-3.4e+38
Patch_0_54,-3.4e+38
Patch_0_55,-3.4e+38
Patch_0_56,-3.4e+38
Patch_0_57,-3.4e+38
Patch_0_58,-3.4e+38
Patch_0_59,-3.4e+38
Patch_0_60,-3.4e+38
Patch_0_61,-3.4e+38
Patch_0_62,-3.4e+38
Patch_0_63,-3.4e+38
Patch_0_64,-3.4e+38
Patch_0_65,-3.4e+38
Patch_0_66,-3.4e+38
Patch_0_67,-3.4e+38
Patch_0_68,-3.4e+38
Patch_0_69,-3.4e+38
Patch_0_70,-3.4e+38
Patch_0_71,-3.4e+38
Patch_0_72,-3.4e+38
Patch_0_73,-3.4e+38
Patch_0_74,-3.4e+38
Patch_0_75,-3.4e+38
Patch_0_76,-3.4e+38
Patch_0_77,-3.4e+38
Patch_0_78,-3.4e+38
Patch_0_79,-3.4e+38
Patch_0_80,-3.4e+38
Patch_0_81,-3.4e+38
Patch_0_82,-3.4e+38
Patch_0_83,-3.4e+38
Patch_0_84,-3.4e+38
Patch_0_85,-3.4e+38
Patch_0_86,-3.4e+38
Patch_0_87,-3.4e+38
Patch_0_88,-3.4e+38
Patch_0_89,-3.4e+38
Patch_0_90,-3.4e+38
Patch_0_91,-3.4e+38
Patch_0_92,-3.4e+38
Patch_0_93,-3.4e+38
Patch_0_94,-3.4e+38
Patch_0_95,-3.4e+38
Patch_0_96,-3.4e+38
Patch_0_97,-3.4e+38
Patch_0_98,-3.4e+38
Patch_0_99,-3.4e+38
Patch_0_100,-3.4e+38
Patch_0_101,-3.4e+38
Patch_0_102,-3.4e+38
Patch_0_103,-3.4e+38
Patch_0_104,-3.4e+38
Patch_0_105,-3.4e+38
Patch_0_106,-3.4e+38
Patch_0_107,-3.4e+38
Patch_0_108,-3.4e+38
Patch_0_109,-3.4e+38
Patch_0_110,-3.4e+38
Patch_0_111,-3.4e+38
Patch_0_112,-3.4e+38
Patch_0_113,-3.4e+38
Patch_0_114,-3.4e+38
Patch_0_115,-3.4e+38
Patch_0_116,-3.4e+38
Patch_0_117,-3.4e+38
Patch_0_118,-3.4e+38
Patch_0_119,-3.4e+38
Patch_0_120,-3.4e+38
Patch_1_0,7.3823686
Patch_1_1,9.512171
Patch_1_2,9.552477
Patch_1_3,9.598416
Patch_1_4,15.115863
Patch_1_5,16.152071
Patch_1_6,9.67307
Patch_1_7,4.316666
Patch_1_8,5.6174126
Patch_1_9,5.5176187
Patch_1_10,6.259796
Patch_1_11,7.3243566
Patch_1_12,6.881622
Patch_1_13,4.634659
Patch_1_14,1.6539481
Patch_1_15,0.5006967
Patch_1_16,0.4187838
Patch_1_17,0.7316026
Patch_1_18,4.6367197
Patch_1_19,2.9073558
Patch_1_20,3.6996734
Patch_1_21,7.4928155
Patch_1_22,10.276994
Patch_1_23,9.997526
Patch_1_24,10.805012
Patch_1_25,10.099528
Patch_1_26,10.955042
Patch_1_27,12.877109
Patch_1_28,9.361432
Patch_1_29,12.93499
Patch_1_30,15.120031
Patch_1_31,16.85983
Patch_1_32,14.509572
Patch_1_33,11.974324
Patch_1_34,11.208672
Patch_1_35,14.740262
Patch_1_36,15.13756
Patch_1_37,11.979086
Patch_1_38,12.692642
Patch_1_39,11.622141
Patch_1_40,12.188746
Patch_1_41,11.304273
Patch_1_42,10.174558
Patch_1_43,12.779101
Patch_1_44,17.044245
Patch_1_45,19.532482
Patch_1_46,4.8208385
Patch_1_47,6.604419
Patch_1_48,12.053858
Patch_1_49,12.355425
Patch_1_50,9.380633
Patch_1_51,11.2191305
Patch_1_52,15.453616
Patch_1_53,12.375217
Patch_1_54,8.6226635
Patch_1_55,0.9818305
Patch_1_56,0.6727143
Patch_1_57,-3.4e+38
Patch_1_58,-3.4e+38
Patch_1_59,-3.4e+38
Patch_1_60,-3.4e+38
Patch_1_61,-3.4e+38
Patch_1_62,-3.4e+38
Patch_1_63,-3.4e+38
Patch_1_64,-3.4e+38
Patch_1_65,-3.4e+38
Patch_1_66,-3.4e+38
Patch_1_67,-3.4e+38
Patch_1_68,-3.4e+38
Patch_1_69,-3.4e+38
Patch_1_70,-3.4e+38
Patch_1_71,-3.4e+38
Patch_1_72,-3.4e+38
Patch_1_73,-3.4e+38
Patch_1_74,-3.4e+38
Patch_1_75,-3.4e+38
Patch_1_76,-3.4e+38
Patch_1_77,-3.4e+38
Patch_1_78,-3.4e+38
Patch_1_79,-3.4e+38
Patch_1_80,-3.4e+38
